INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-08-01T17:00:00-00:00,2022-08-01T18:00:00-00:00,2022-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,75.64644,3
2022-08-01T09:00:00-00:00,2022-08-01T10:00:00-00:00,2022-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,78.20431,3
2022-08-01T07:00:00-00:00,2022-08-01T08:00:00-00:00,2022-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,82.15664,3
2022-08-02T06:00:00-00:00,2022-08-02T07:00:00-00:00,2022-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,89.70656,3
2022-08-02T03:00:00-00:00,2022-08-02T04:00:00-00:00,2022-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,128.1284,3
2022-08-02T02:00:00-00:00,2022-08-02T03:00:00-00:00,2022-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,156.56958,3
2022-08-01T13:00:00-00:00,2022-08-01T14:00:00-00:00,2022-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,101.1092,3
2022-08-01T19:00:00-00:00,2022-08-01T20:00:00-00:00,2022-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,83.7149,3
2022-08-01T11:00:00-00:00,2022-08-01T12:00:00-00:00,2022-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,78.36636,3
2022-08-01T16:00:00-00:00,2022-08-01T17:00:00-00:00,2022-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,74.76597,3
2022-08-01T15:00:00-00:00,2022-08-01T16:00:00-00:00,2022-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.2559,4
2022-08-01T11:00:00-00:00,2022-08-01T12:00:00-00:00,2022-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.09404,4
2022-08-01T10:00:00-00:00,2022-08-01T11:00:00-00:00,2022-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.16218,4
2022-08-01T23:00:00-00:00,2022-08-02T00:00:00-00:00,2022-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T22:00:00-00:00,2022-08-01T23:00:00-00:00,2022-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T16:00:00-00:00,2022-08-01T17:00:00-00:00,2022-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.67662,4
2022-08-01T13:00:00-00:00,2022-08-01T14:00:00-00:00,2022-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.51566,4
2022-08-01T07:00:00-00:00,2022-08-01T08:00:00-00:00,2022-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.55867,4
2022-08-02T04:00:00-00:00,2022-08-02T05:00:00-00:00,2022-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T19:00:00-00:00,2022-08-01T20:00:00-00:00,2022-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T14:00:00-00:00,2022-08-01T15:00:00-00:00,2022-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.3567,4
2022-08-02T06:00:00-00:00,2022-08-02T07:00:00-00:00,2022-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.16619,4
2022-08-01T08:00:00-00:00,2022-08-01T09:00:00-00:00,2022-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-02T02:00:00-00:00,2022-08-02T03:00:00-00:00,2022-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T09:00:00-00:00,2022-08-01T10:00:00-00:00,2022-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.23461,4
